植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
オリーブ,Olea europaea,Olive,モクセイ科オリーブ属,地中海地方,低（日向必須）,-5℃以上、地植えは霜よけ推奨,強い（乾燥を好む）,庭 / ベランダ,土が乾いたらたっぷり,冬は休眠期に入るため水やりを控えめに。過湿に注意。,乾燥好む,初心者向け,常緑性高木,5月〜6月（花）、10月〜11月（実）,葉：シルバーグリーン、実：緑〜黒,樹高2m〜10m以上（鉢植えで調整可）,普通,水はけ重視（オリーブ専用土）,春（3〜4月）、2年に1回,3月・6月・10月に緩効性肥料を施す,炭疽病・オリーブがん腫病,オリーブアナアキゾウムシ・ハマキムシ,スミチオン乳剤の散布・風通しの確保,2月〜3月に混み合った枝や平行枝を間引く,安全（毒性なし）,北欧 / ナチュラル / 南欧風,リラックス（シンボルツリー）,平和・知恵 / 花言葉「平和」「知恵」,新築祝い / 開店祝い / 結婚祝い,通年安定（春・秋に入荷増）,屋外・日向エリア（シンボルツリー面）,"4号鉢：2,500円 / 8号鉢：15,000円",
グニー,Eucalyptus gunnii,Cider gum / グニーユーカリ,フトモモ科ユーカリ属,オーストラリアタスマニア島,低（日向必須）,-5℃以上（寒風は避ける）,強い / 弱い（高温多湿に弱い）,庭 / ベランダ,土が乾いたらたっぷり,夏のムレに非常に弱い。梅雨時期は水のやりすぎに注意。,乾燥好む,中級者向け,常緑性高木,通年（葉の見頃）,葉：シルバーブルー（円形）,樹高2m〜10m以上（剪定で維持）,早い,水はけ重視,春（4〜5月）、毎年〜2年に1回,春と秋の生育期に控えめに緩効性肥料,うどんこ病・斑点病,ハダニ・アブラムシ,風通しの良い場所に置く。ハダニには水シャワー。,春から秋に伸びすぎた枝をこまめにピンチ（摘心）する,注意（葉に精油成分あり、多量摂取は危険）,北欧 / モダン / インダストリアル,空気浄化 / 消臭 / リフレッシュ,再生・記憶 / 花言葉「新生」「再生」,新築祝い / 一人暮らし,春夏のみ（苗木は通年流通あり）,屋外・日向エリア（ハーブ・ネイティブ系）,"3号ポット：600円 / 6号鉢：3,800円",
ポリアンセモス(ポポラス),Eucalyptus polyanthemos,Silver dollar gum / ポポラスユーカリ,フトモモ科ユーカリ属,オーストラリア南東部,低（日向必須）,-3℃以上（霜よけ推奨）,強い / 弱い（日本の多湿に注意）,庭 / ベランダ,土が乾いたらたっぷり,水切れすると葉がパリパリになり戻らないので注意。,乾燥好む,中級者向け,常緑性高木,通年（葉の見頃）,葉：薄緑・ハート型・円形,樹高2m〜5m（鉢植え管理）,早い,水はけ重視,春（4〜5月）、毎年〜2年に1回,春と秋の生育期に緩効性肥料を少量,うどんこ病,ハダニ・カイガラムシ,乾燥しすぎるとハダニが出るため屋外でもたまに葉水,春〜秋に樹形を整える剪定。強剪定にも耐える。,注意（精油成分によりペットには注意）,北欧 / ナチュラル / フレンチカントリー,空気浄化 / 消臭 / ドライフラワー素材,慰め・記憶 / 花言葉「新生」「心からの慰め」,新築祝い / お祝い（ドライ用）,通年安定（春が入荷ピーク）,屋外・日向エリア（シンボルツリー面）,"3号ポット：700円 / 8号鉢：8,000円",
プレウロカルパ(テトラゴナ),Eucalyptus pleurocarpa,Tallerack / テトラゴナ,フトモモ科ユーカリ属,西オーストラリア州,低（日向必須）,0℃以上（霜は避ける）,強い / 弱い（多湿は厳禁）,庭 / ベランダ,乾燥気味,雨ざらしを避け、風通しを極限まで良くする。,乾燥好む,上級者向け,常緑性低木〜低高木,通年（葉・実の見頃）,葉・茎・実：白粉を帯びたシルバー,樹高1.5m〜4m,遅い,水はけ重視（砂質の土壌を好む）,春（4〜5月）、根詰まりしたら,ほぼ不要（与えすぎると根を痛める）,根腐れ,カイガラムシ,過湿を避けることが最大の予防。薬剤はスプレータイプ。,春に形を整える程度。あまり大胆には切らない。,注意（他ユーカリ同様）,モダン / インダストリアル / スタイリッシュ,ドライフラワー・カット枝としての価値,花言葉「再生」「思い出」,お祝い（個性的ギフト）,スポット入荷（希少）,屋外・雨の当たらない日向エリア,"4号鉢：3,000円 / 6号鉢：6,500円",
ミモザ,Acacia baileyana,Cootamundra wattle / ギンヨウアカシア,マメ科アカシア属,オーストラリア南東部,低（日向必須）,-5℃以上（強い寒風は避ける）,強い / 普通（水はけ必須）,庭 / ベランダ,土が乾いたらたっぷり,開花期の水切れに注意。夏に翌年の花芽が形成される。,乾燥好む,初心者向け（地植え）,常緑性高木,2月〜3月（開花期）,葉：シルバーブルー、花：鮮黄色,樹高3m〜10m以上,早い,水はけ重視,春（花後、4〜5月）、2年に1回,不要（マメ科のため自ら窒素固定する。過肥厳禁）,カイガラムシ病（煤病）,カイガラムシ・ミノムシ,花後の剪定で風通しを良くする。オルトラン等。,花後（4〜5月）に必ず剪定。夏以降に切ると翌年咲かない,安全（毒性なし）,北欧 / ナチュラル / カジュアル,リラックス（お庭の主役） / ミモザリース,友情・秘密の恋 / 花言葉「感謝」「友情」,新築祝い / 母の日 / 女性へのギフト,春夏のみ（2〜3月に出荷ピーク）,屋外特設・メインディスプレイ,"3号苗：800円 / 8号鉢（開花株）：12,000円",
パール,Acacia podalyriifolia,Pearl wattle / パールアカシア,マメ科アカシア属,オーストラリアクイーンズランド,低（日向必須）,-3℃以上（寒冷地は室内）,強い / 普通（多湿は避ける）,庭 / ベランダ,土が乾いたらたっぷり,台風などの強風で幹が折れやすいため支柱が必須。,乾燥好む,中級者向け,常緑性高木,1月〜3月（早春開花）,葉：パールの質感の丸葉（白軟毛）、花：黄,樹高2m〜5m,早い,水はけ重視,春（花後、4〜5月）、2年に1回,ほぼ不要（春に少量の骨粉など）,特になし,カイガラムシ,風通しを良くし、見つけ次第ブラシ等で駆除。,花後すぐに剪定。丸みを帯びた樹形を維持するように切る。,安全（毒性なし）,モダン / フレンチ / シャビーシック,リラックス / カット枝利用,秘密の恋 / 花言葉「優雅」「友情」,新築祝い / 開店祝い,スポット入荷（秋〜冬）,屋外・日向エリア（アカシアコーナー）,"4号鉢：2,000円 / 7号鉢：7,500円",
ブルーブッシュ,Acacia covenyi,Blue bush / コベニー,マメ科アカシア属,オーストラリアニューサウスウェールズ,低（日向必須）,-5℃以上,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,成長が非常に早いので、鉢植えの場合は根詰まりに注意。,乾燥好む,初心者向け,常緑性高木,3月〜4月（開花期）,葉：シャープな青銀色、花：黄,樹高3m〜7m,早い,水はけ重視,春（花後）、1〜2年に1回,ほぼ不要（与えるなら秋に少量）,特になし,カイガラムシ・ハダニ,定期的な剪定による風通しの確保。,花後、初夏までに剪定。形を整えやすい。,安全（毒性なし）,モダン / インダストリアル / 西海岸風,カラーリーフとしての目隠し・シンボルツリー,花言葉「秘密の恋」「友情」,新築祝い / 開店祝い,通年安定（春に入荷増）,屋外・日向エリア（シンボルツリー面）,"5号鉢：3,500円 / 8号鉢：14,000円",
サンカクバ,Acacia cultriformis,Knife-leaf wattle / 三角葉アカシア,マメ科アカシア属,オーストラリア東部,低（日向必須）,-5℃以上,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,強風で幹が曲がりやすいため若木の間は支柱で固定する。,乾燥好む,初心者向け,常緑性高木,3月〜4月（開花期）,葉：三角形状の銀白色、花：黄色,樹高2m〜4m,早い,水はけ重視,春（花後）、2年に1回,ほぼ不要（窒素肥料は与えない）,特になし,カイガラムシ・ハダニ,剪定による風通し改善。見つけ次第駆除。,花後すぐ（初夏まで）に伸びすぎた枝や混み合った枝をカット,安全（毒性なし）,インダストリアル / 西海岸風 / モダンスタイリッシュ,カラーリーフとしての目隠し / リース素材,友情・秘密の恋 / 花言葉「秘密の恋」「優雅」,新築祝い / 開店祝い,スポット入荷（春）,屋外・日向エリア（アカシアコーナー）,"4号鉢：2,200円 / 7号鉢：8,000円",
メディカルティーツリー,Melaleuca alternifolia,Tea tree / メディカルティーツリー,フトモモ科コバノブラシノキ属,オーストラリア東海岸,低（日向必須）,-5℃以上（霜よけ推奨）,強い / 強い（水切れ厳禁）,庭 / ベランダ / 室内リビング（窓際）,土が乾いたらたっぷり（水切れに弱い）,夏の極端な乾燥に注意。鉢植えは毎日水やりが必要な場合も。,湿度好む（乾燥時は葉霧）,初心者向け,常緑性高木,5月〜6月（開花期）,葉：鮮やかな緑・繊細な細葉、花：白（羽毛状）,樹高2m〜6m以上（剪定で維持）,早い,水はけと保水性のバランス重視,春（4〜5月）、1〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,特になし,ハダニ・アブラムシ,乾燥時のハダニ対策として定期的な葉水が有効。,春〜秋の生育期、どこで切っても芽吹くため強剪定が可能,安全（精油の原液摂取はペットに危険）,北欧 / ナチュラル / アジアン,消臭 / 抗菌効果 / 爽快なアロマ香,清潔・力強い味方 / 花言葉「清潔」「強い味方」,新築祝い / 一人暮らし / アロマ好きへのギフト,通年安定（春夏に流通増）,屋外・日向エリア（ハーブコーナー）,"3号ポット：600円 / 8号鉢：9,000円",
シルバーティーツリー,Leptospermum sericeum,Silver tea tree,フトモモ科ネズモドキ属,西オーストラリア南岸,低（日向必須）,-3℃以上（寒冷地は室内へ）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,水切れすると復活しにくいため、土の表面が乾いたらすぐに。,乾燥好む,中級者向け,常緑性低木,4月〜6月（開花期）,葉：絹毛に覆われたシルバー、花：淡いピンク〜白,樹高1.5m〜3m,普通,水はけ重視（砂質ドロドロはNG）,春（4〜5月）、2年に1回,春と秋に少量の緩効性肥料を置肥,根腐れ,ハダニ・カイガラムシ,風通しの確保と、乾燥期のこまめな葉水（屋外）。,花後に形を整える剪定。古い木質の枝からは芽吹きにくい。,安全（毒性なし）,モダン / シャビーシック / インダストリアル,カラーリーフ / カット枝利用,花言葉「潔白」「優潔」,お祝い / 個性的ギフト,スポット入荷（秋・春）,屋外・日向エリア（ネイティブプランツ）,"4号鉢：2,500円 / 6号鉢：5,500円",
エリシフォリア(ヒース),Melaleuca ericifolia,Heath-leaved paperbark / スワンプペーパーバーク,フトモモ科コバノブラシノキ属,オーストラリア南東部,中（半日陰OK）〜低,-5℃以上（耐寒性は高め）,強い / 強い（湿地原産）,庭 / ベランダ,土が乾いたらたっぷり（やや多湿を好む）,他のネイティブプランツと異なり水切れを非常に嫌う。,湿度好む,初心者向け,常緑性低木〜高木,5月〜6月（開花期）,葉：細い針葉（柔らかい）、花：クリームホワイト,樹高2m〜4m,早い,水はけと保水性のある土,春（4〜5月）、1〜2年に1回,春〜秋の生育期に緩効性肥料を少量,特になし,アブラムシ・カイガラムシ,見つけ次第、市販の殺虫スプレーで駆除。,いつでも剪定可能。細かく刈り込んで生垣にすることもできる。,安全（毒性なし）,ナチュラル / カントリー / ミニマル,柔らかな質感の目隠し / 生垣用,花言葉「強い味方」「誠実」,マイホームの植栽用,スポット入荷,屋外・日陰〜日向エリア,"3号ポット：500円 / 6号鉢：4,500円",
